building,room,seat_label,seat_id
理工馆,东楼一楼（博雅）,104,1985581017252073510
理工馆,东楼一楼（博雅）,105,1985581017252073511
理工馆,东楼一楼（博雅）,106,1985581017252073512
理工馆,东楼一楼（博雅）,107,1985581017252073513
理工馆,东楼一楼（博雅）,108,1985581017252073514
理工馆,东楼一楼（博雅）,1,2008107114136965120
理工馆,东楼一楼（博雅）,109,2008107114136965121
理工馆,东楼一楼（博雅）,110,2008107114136965122
理工馆,东楼一楼（博雅）,111,2008107114136965123
理工馆,东楼一楼（博雅）,112,2008107114136965124
理工馆,东楼一楼（博雅）,113,2008107114136965125
理工馆,东楼一楼（博雅）,114,2008107114136965126
理工馆,东楼二楼,48,1985534836933234688
理工馆,东楼二楼,38,1985534836933234689
理工馆,东楼二楼,63,1985534836933234690
理工馆,东楼二楼,47,1985534836933234691
理工馆,东楼二楼,24,1985534836933234692
理工馆,东楼二楼,14,1985534836933234693
理工馆,东楼二楼,30,1985534836933234694
理工馆,东楼二楼,39,1985534836933234695
理工馆,东楼二楼,37,1985534836933234696
理工馆,东楼二楼,54,1985534836933234697
理工馆,东楼二楼,32,1985534836933234698
理工馆,东楼二楼,45,1985534836933234699
理工馆,东楼二楼,8,1985534836933234700
理工馆,东楼二楼,56,1985534836933234701
理工馆,东楼二楼,64,1985534836933234702
理工馆,东楼二楼,55,1985534836933234703
理工馆,东楼二楼,7,1985534836933234704
理工馆,东楼二楼,53,1985534836933234705
理工馆,东楼二楼,40,1985534836933234706
理工馆,东楼二楼,62,1985534836933234707
理工馆,东楼二楼,21,1985534836933234708
理工馆,东楼二楼,31,1985534836933234709
理工馆,东楼二楼,6,1985534836933234710
理工馆,东楼二楼,61,1985534836933234711
理工馆,东楼二楼,16,1985534836933234712
理工馆,东楼二楼,46,1985534836933234713
理工馆,东楼二楼,5,1985534836933234714
理工馆,东楼二楼,13,1985534836933234715
理工馆,东楼二楼,15,1985534836933234716
理工馆,东楼二楼,23,1985534836933234717
理工馆,东楼二楼,29,1985534836933234718
理工馆,东楼二楼,22,1985534836933234719
理工馆,东楼二楼,34,1985534836933234720
理工馆,东楼二楼,4,1985534836933234721
理工馆,东楼二楼,60,1985534836933234722
理工馆,东楼二楼,42,1985534836933234723
理工馆,东楼二楼,33,1985534836933234724
理工馆,东楼二楼,50,1985534836933234725
理工馆,东楼二楼,35,1985534836933234726
理工馆,东楼二楼,11,1985534836933234727
理工馆,东楼二楼,43,1985534836933234728
理工馆,东楼二楼,51,1985534836933234729
理工馆,东楼二楼,41,1985534836933234730
理工馆,东楼二楼,59,1985534836933234731
理工馆,东楼二楼,36,1985534836933234732
理工馆,东楼二楼,10,1985534836933234733
理工馆,东楼二楼,58,1985534836933234734
理工馆,东楼二楼,28,1985534836933234735
理工馆,东楼二楼,20,1985534836933234736
理工馆,东楼二楼,17,1985534836933234737
理工馆,东楼二楼,57,1985534836933234738
理工馆,东楼二楼,49,1985534836933234739
理工馆,东楼二楼,25,1985534836933234740
理工馆,东楼二楼,3,1985534836933234741
理工馆,东楼二楼,18,1985534836933234742
理工馆,东楼二楼,26,1985534836933234743
理工馆,东楼二楼,2,1985534836933234744
理工馆,东楼二楼,52,1985534836933234745
理工馆,东楼二楼,27,1985534836933234746
理工馆,东楼二楼,19,1985534836933234747
理工馆,东楼二楼,9,1985534836933234748
理工馆,东楼二楼,44,1985534836933234749
理工馆,东楼二楼,1,1985534836933234750
理工馆,东楼二楼,12,1985534836933234751
理工馆,东楼二楼过厅,6,1985575724610850816
理工馆,东楼二楼过厅,12,1985575724610850817
理工馆,东楼二楼过厅,5,1985575724610850818
理工馆,东楼二楼过厅,11,1985575724610850819
理工馆,东楼二楼过厅,10,1985575724610850820
理工馆,东楼二楼过厅,4,1985575724610850821
理工馆,东楼二楼过厅,7,1985575724610850822
理工馆,东楼二楼过厅,2,1985575724610850823
理工馆,东楼二楼过厅,3,1985575724610850824
理工馆,东楼二楼过厅,8,1985575724610850825
理工馆,东楼二楼过厅,9,1985575724610850826
理工馆,东楼二楼过厅,1,1985575724610850827
理工馆,东楼三楼,38,1985539058995138560
理工馆,东楼三楼,16,1985539058995138561
理工馆,东楼三楼,64,1985539058995138562
理工馆,东楼三楼,54,1985539058995138563
理工馆,东楼三楼,47,1985539058995138564
理工馆,东楼三楼,22,1985539058995138565
理工馆,东楼三楼,56,1985539058995138566
理工馆,东楼三楼,31,1985539058995138567
理工馆,东楼三楼,14,1985539058995138568
理工馆,东楼三楼,45,1985539058995138569
